ac_0,ac_1,ac_2,ac_3,ac_4,ac_5
0.00864076,-0.00699128,-0.06025885,-0.15400482,-0.21072977,0.01369911
-0.10069014,-0.0901426,-0.02679107,-0.11251723,-0.04871836,-0.05479585
-0.0095625,-0.02739754,-0.01836618,-0.06384922,-0.01835704,-0.01864398
-0.00267087,-0.02033631,0.04456186,-0.12481817,-0.1401645,-0.03049208
-0.03091901,-0.00894899,0.01254952,-0.01854404,-0.01447188,-0.01109687
-0.02060666,0.00431329,0.09204604,-0.04433586,-0.03219362,0.01802395
-0.07862835,-0.10480231,0.000306,-0.07655727,-0.06537391,0.01424778
-0.00759576,0.00323428,-0.12695499,-0.10013608,-0.12183734,0.02954215
-0.04596273,-0.10284052,-0.00122404,-0.07697355,-0.13189024,0.07633658
-0.08959266,-0.08150028,-0.04609745,-0.02339451,-0.13370087,-0.03022327
-0.05858292,-0.14419136,-0.0659851,-0.10582939,-0.0839272,0.08209148
0.0298314,-0.04525502,-0.07067788,-0.24890039,-0.21712936,0.10386896
0.00282625,-0.12019903,-0.07818102,-0.07097119,-0.07885013,0.06863792
0.04343381,-0.04839445,0.00687039,-0.12808907,-0.05423026,0.11006716
0.06305182,-0.09382204,-0.05997382,-0.0533085,-0.09108272,0.11811733
0.01639021,-0.02923609,-0.1112249,-0.13909947,-0.07031218,0.04492773
-0.05821517,-0.15321381,-0.05871946,-0.0767489,-0.06991226,0.07202077
-0.06274794,-0.04589335,-0.04883389,-0.08914689,-0.17189028,0.01817782
-0.05400592,-0.16149788,0.00180685,-0.1581515,-0.10728498,-0.00652901
0.01695938,-0.05157772,-0.05655507,-0.09906255,-0.09194454,-0.02107178
-0.07840024,-0.00520697,0.01972602,-0.0150661,-0.01852078,0.00263165
0.01531536,0.02600206,-0.02748365,-0.09804796,-0.06562506,-0.06307193
0.04255269,-0.10955528,-0.01166018,-0.18625961,-0.18600298,-0.01640012
-0.00575677,-0.02219494,0.05009053,-0.08161061,-0.07853776,-0.07139885
0.23522397,0.23226098,0.02605889,-0.06680144,0.01773808,-0.08319473
-0.15049986,-0.08777312,0.01620027,0.05092752,0.00180761,-0.09724393
0.06587338,0.01391724,0.02316338,-0.11142696,-0.08477752,-0.04810604
-0.00817713,0.00706167,0.04341409,-0.11546017,-0.11276873,0.02279763
