acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17
0.00864076,-0.00699128,-0.06025885,-0.15400482,-0.21072977,0.01369911,0.02217597,0.00870881,-0.02548783,0.05833361,0.00267605,0.01926416,0.19974226,-0.04686512,0.13671213,0.0206162,0.05798658,-0.05387734
-0.10069014,-0.0901426,-0.02679107,-0.11251723,-0.04871836,-0.05479585,0.10552081,0.02535802,0.10165024,-0.00871592,-0.03319868,-0.00636511,0.05084635,0.00120509,0.07576405,0.02002525,0.04124549,0.01031397
-0.0095625,-0.02739754,-0.01836618,-0.06384922,-0.01835704,-0.01864398,-0.01032749,0.02003034,0.03336758,0.02454687,-0.09933357,0.0865257,0.05035817,-0.02072324,0.03427089,0.01284587,0.11973509,-0.12084027
-0.00267087,-0.02033631,0.04456186,-0.12481817,-0.1401645,-0.03049208,0.00129689,-0.07406459,0.01327204,0.05159206,-0.03030744,0.0022206,0.16905782,0.01442833,0.09596453,0.00164614,0.02304741,0.01686914
-0.03091901,-0.00894899,0.01254952,-0.01854404,-0.01447188,-0.01109687,0.05664898,0.01288445,-0.01416298,-0.03389258,0.0861834,-0.02729805,0.01692108,-0.02477071,-0.03721508,-0.00604417,0.00573925,-0.03981534
-0.02060666,0.00431329,0.09204604,-0.04433586,-0.03219362,0.01802395,0.00187386,0.00552106,0.04407558,-0.02688083,-0.05884217,0.01847838,-0.02210819,-0.04242834,0.07355289,0.06852409,-0.08594504,0.09003365
-0.07862835,-0.10480231,0.000306,-0.07655727,-0.06537391,0.01424778,0.08409276,0.00041512,0.09852303,-0.0275458,0.00276916,-0.00395073,0.08687107,-0.02634159,0.06911433,0.01750067,0.00663296,-0.00808107
-0.00759576,0.00323428,-0.12695499,-0.10013608,-0.12183734,0.02954215,-0.04080764,-0.07550562,0.03395199,0.10064544,0.05853216,0.05639489,0.03765262,0.09138112,0.16603326,-0.08962377,0.00737469,-0.08162328
-0.04596273,-0.10284052,-0.00122404,-0.07697355,-0.13189024,0.07633658,0.01345416,0.03068552,0.11499468,-0.01281998,0.01940831,0.05278765,0.08796785,-0.00073753,0.13608079,-0.04769079,-0.04800392,0.00610825
-0.08959266,-0.08150028,-0.04609745,-0.02339451,-0.13370087,-0.03022327,0.04727455,-0.05620555,0.1087093,0.04953999,-0.01417557,0.07167793,0.07200669,0.10012901,0.05156003,-0.06171284,0.05071931,-0.03956164
-0.05858292,-0.14419136,-0.0659851,-0.10582939,-0.0839272,0.08209148,-0.00027901,-0.06061095,0.1304247,0.11313863,0.00286132,0.12176873,0.111316,0.03030432,0.10030074,-0.05209986,0.02313939,-0.05820357
0.0298314,-0.04525502,-0.07067788,-0.24890039,-0.21712936,0.10386896,-0.0254072,0.05008478,0.04437131,-0.00172568,0.09517403,-0.00299547,0.28267555,0.07488921,0.22271376,-0.06508944,-0.09951484,0.05441898
0.00282625,-0.12019903,-0.07818102,-0.07097119,-0.07885013,0.06863792,0.06473771,0.02797688,0.03134947,0.03983675,0.10370622,-0.04190531,0.05544599,0.05831053,0.07433424,-0.07845867,-0.03931456,0.00838594
0.04343381,-0.04839445,0.00687039,-0.12808907,-0.05423026,0.11006716,0.04264869,0.02224358,-0.03501555,0.00633966,0.03023016,0.00516789,0.10691875,-0.04483419,0.06312559,0.02700904,-0.04027574,-0.00543461
0.06305182,-0.09382204,-0.05997382,-0.0533085,-0.09108272,0.11811733,-0.03767472,-0.1328484,0.03498456,0.17628597,0.04147508,0.07508758,0.07896352,-0.00897659,0.08246156,-0.05635529,-0.04308715,0.05708667
0.01639021,-0.02923609,-0.1112249,-0.13909947,-0.07031218,0.04492773,-0.01940223,-0.03925596,0.02294057,0.03115819,-0.04270077,0.12613316,0.12809606,-0.07874286,0.09330899,0.10280221,0.15508671,-0.16783517
-0.05821517,-0.15321381,-0.05871946,-0.0767489,-0.06991226,0.07202077,0.06659273,-0.01260911,0.1435533,-0.02874553,-0.02789118,0.10395058,0.10484465,-0.03063472,0.03042569,0.03989361,0.10607869,-0.15069528
-0.06274794,-0.04589335,-0.04883389,-0.08914689,-0.17189028,0.01817782,0.022232,0.08722241,0.07249968,-0.00015276,0.07437026,-0.05456041,0.10049461,-0.00542265,0.11410615,0.00494182,-0.0736407,0.05523
