ac_0,ac_1,ac_2,ac_3,ac_4,ac_5
0.01380647,-0.03010347,0.05783578,-0.03399765,0.0217933,-0.00563992
-0.0281134,-0.06764763,0.00111382,-0.13038614,-0.15030769,-0.13800208
-0.00183733,0.00217029,0.00709072,-0.03593392,-0.05050406,-0.04658735
-0.08844425,-0.06630197,0.00346822,-0.09253685,-0.11619634,-0.03656927
-0.07425783,-0.07630839,-0.06095199,-0.06206724,-0.08529383,-0.0594233
-0.06545405,-0.06321835,-0.05122082,-0.07767364,-0.06034971,-0.01967576
-0.03901455,-0.08142805,-0.02034828,-0.11417144,-0.09408561,-0.04478075
-0.08803216,-0.0331033,-0.03941294,-0.08347283,-0.11199597,0.01406478
-0.00543079,0.00793417,0.00160359,-0.10793823,-0.08276848,0.02907193
-0.18009843,-0.07887444,-0.02752345,-0.09394218,-0.12615392,-0.15145847
-0.10628365,-0.07163085,-0.00650108,-0.12843725,-0.14109335,-0.09362124
0.00155339,-0.01712731,-0.0288229,-0.1042515,-0.08076727,0.02358046
-0.02595951,-0.06086337,-0.05486645,-0.05714255,-0.0492217,0.04794374
-0.01068446,-0.01297577,-0.02199731,-0.07233494,-0.0799378,0.0323854
0.07258318,-0.01839292,-0.03062406,-0.11331021,-0.13298657,-0.09395436
-0.08358603,-0.02416595,-0.05659871,-0.04132862,-0.1030363,0.06237805
-0.04733325,-0.01487754,0.01297968,-0.09277145,-0.03469996,0.01038707
-0.02974957,0.01922976,-0.03743227,-0.09068701,-0.01118046,-0.02311761
0.04678564,0.03951274,0.01561542,-0.07981225,-0.05316196,0.00544967
-0.0151115,-0.00812728,-0.05498098,-0.08391913,-0.08342868,0.01151699
0.02415931,-0.10285624,0.03679827,-0.05755368,-0.04838616,0.03993109
0.04044671,0.03885739,-0.0150332,-0.05320711,-0.04558723,-0.0054375
0.02802038,0.02894953,0.0217422,-0.0993735,-0.01862069,-0.00040925
0.00076595,0.00500424,0.03510254,-0.02910013,-0.06975278,0.00625879
0.05282398,0.05225576,0.03338248,-0.02808964,-0.03613692,0.02101791
0.04652519,-0.02259585,0.05337626,0.01058505,-0.07792091,-0.01829676
-0.02374395,-0.04673773,0.00386183,-0.06306081,-0.09334767,-0.04228923
-0.0167588,-0.0074932,-0.01969194,-0.07649496,-0.07425483,-0.04995474
-0.0560012,-0.02878908,-0.02405028,-0.08676099,-0.12997399,-0.04468898
0.06620968,0.0623266,0.02054325,-0.04144561,-0.03280302,-0.02206326
-0.0470168,-0.05645448,-0.02815343,-0.04148451,-0.06622075,0.00752475
-0.0290395,-0.01348007,0.02387474,-0.08141754,-0.02412286,0.01750959
-0.02017109,0.03477098,0.0446362,-0.05026393,-0.03666384,0.03736881
-0.0023305,0.02710717,0.0730499,-0.05515134,-0.07277031,0.01950543
-0.0592713,-0.07256131,-0.04544502,-0.00684554,-0.02866155,-0.0477566
0.02109227,-0.01070891,-0.0366689,-0.03240045,-0.01991314,-0.06967145
-0.05379231,-0.02589571,-0.08770655,-0.03698315,-0.04011157,-0.07009113
-0.00354402,-0.02719328,-0.02418207,-0.08848395,-0.10077976,-0.07031966
-0.01622089,-0.02057103,-0.04449072,-0.08884203,-0.10413997,-0.0177633
-0.10730958,-0.07508754,-0.04372445,-0.03034626,-0.03935227,-0.06251378
0.07173557,0.04370832,0.00982671,-0.06188309,-0.06861274,0.0235476
0.02316755,0.01655158,0.00100475,-0.02290652,-0.04986753,-0.03350036
0.0030354,-0.04678723,-0.00916769,-0.04834272,-0.06629959,-0.06913506
-0.08822538,-0.10887585,0.00057609,-0.05897402,-0.02436996,-0.00105
-0.05575799,-0.05563304,-0.03376509,-0.0906532,-0.03718901,0.00361275
0.03432329,0.02745342,-0.03486387,-0.08266883,-0.14957013,0.07048078
-0.07137862,-0.01481259,-0.05559164,-0.0132339,-0.08781888,-0.02568968
-0.01865232,0.05048925,-0.07502327,-0.06810055,-0.12876587,-0.04091141
-0.06647506,-0.0822128,0.05393021,-0.06650785,-0.04162289,0.01925643
0.01353994,-0.00271764,0.02206045,-0.02706076,-0.05302712,0.03991468
-0.04630494,-0.05155778,-0.06168816,-0.03406926,0.01052004,-0.05089825
-0.06836059,-0.05234624,0.01996976,-0.07775291,-0.03041033,0.01191494
0.01577597,-0.00940374,0.0287618,-0.15471012,-0.14570216,0.05182843
0.03216701,0.0397274,0.05637009,-0.10310965,-0.14205873,0.0627368
0.02815387,-0.00018543,0.01179475,-0.12295964,-0.07491038,0.00262006
0.00850529,-0.00299137,0.00747899,-0.0980144,-0.08640364,-0.00892763
0.03537578,0.0199919,0.03611922,-0.10488458,-0.10122005,0.00223917
0.01598976,0.03349712,0.01420044,-0.15057966,-0.11111561,0.03111183
0.03845983,0.00382045,-0.0099899,-0.01060402,-0.04732164,-0.01542755
0.04494834,-0.01044831,-0.07107385,-0.08212274,-0.07754514,-0.01533348
0.04912893,0.05210238,-0.02745778,-0.05239863,-0.07927615,-0.01704218
-0.03311496,-0.09249239,-0.10443516,-0.04362048,-0.13096066,-0.12497444
-0.08471738,-0.10349395,-0.1554459,-0.04500984,-0.04820531,-0.11415885
-0.11273472,-0.08070926,-0.00453501,-0.0559885,-0.05764569,0.10083877
-0.13588719,-0.14319744,-0.02606121,-0.02143792,-0.0269934,-0.0345753
-0.17063048,-0.186105,-0.0244415,0.02476802,-0.01957588,-0.01516349
-0.06821054,-0.13900998,0.01368098,-0.05297192,-0.05519942,-0.0307297
-0.06161657,-0.04993706,-0.01109261,-0.00285307,-0.05187685,-0.02645364
-0.08199237,-0.08076223,-0.01513986,0.04674797,-0.04724215,-0.0293033
-0.06338272,-0.05401944,-0.013975,0.00711752,-0.0604467,0.02200595
-0.02558418,0.01068052,-0.0306542,-0.23570645,-0.17897417,-0.01203692
-0.04868323,0.00068964,-0.03246224,-0.1861902,-0.15582804,-0.01091435
-0.03388446,-0.06058447,-0.03757909,-0.16538015,-0.13521416,-0.01059188
-0.07878917,-0.02035006,-0.08478767,-0.07209318,-0.06187765,0.03689941
-0.07209531,-0.07546163,-0.11724468,0.03399101,-0.03898461,-0.13318424
-0.01038177,0.00798073,0.04523116,0.01728376,-0.02483701,0.02835804
0.01931511,-0.00211673,0.06131261,-0.06857103,-0.043612,-0.16102345
