acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17
0.01380647,-0.03010347,0.05783578,-0.03399765,0.0217933,-0.00563992,0.00166557,-0.02935325,0.01396104,0.02716302,-0.05058904,0.03135962,0.01785789,-0.00843563,-0.01016764,0.0307003,0.0193542,-0.02523979
-0.0281134,-0.06764763,0.00111382,-0.13038614,-0.15030769,-0.13800208,0.04203168,0.00152,0.05833575,-0.00080205,-0.0228858,0.01080874,0.11711202,0.10422761,0.14465118,-0.05335825,0.10281543,-0.04374526
-0.00183733,0.00217029,0.00709072,-0.03593392,-0.05050406,-0.04658735,-0.00085918,-0.07961643,-0.00907272,0.09503228,-0.06705127,0.08062675,0.04148861,-0.01991671,0.02111721,0.06299326,0.03200912,0.01350276
-0.08844425,-0.06630197,0.00346822,-0.09253685,-0.11619634,-0.03656927,0.09336888,-0.0187556,0.05060722,0.03762388,-0.06784355,0.0458854,0.09541854,0.05035995,0.10240193,-0.0476782,-0.00451617,0.0119263
-0.07425783,-0.07630839,-0.06095199,-0.06206724,-0.08529383,-0.0594233,0.10100753,-0.01894805,0.04441886,0.0225622,-0.00312016,0.0582107,0.0522564,-0.02295718,0.07476373,0.05183865,0.03936479,-0.02222865
-0.06545405,-0.06321835,-0.05122082,-0.07767364,-0.06034971,-0.01967576,0.04834119,-0.02013334,0.11055464,-0.01026961,0.03957872,-0.01795889,0.0681996,-0.00480147,0.08471741,-0.00024003,0.00708256,0.03841267
-0.03901455,-0.08142805,-0.02034828,-0.11417144,-0.09408561,-0.04478075,0.07158778,0.01087244,0.05993664,-0.04092583,0.05931699,-0.02358282,0.09127842,0.06203902,0.13143016,-0.04818377,0.00123589,-0.00169452
-0.08803216,-0.0331033,-0.03941294,-0.08347283,-0.11199597,0.01406478,0.03805254,0.03312795,0.02381003,0.01772334,0.10443379,-0.02773111,0.09499584,0.02762952,0.09026591,-0.00994787,0.02448614,-0.01821101
-0.00543079,0.00793417,0.00160359,-0.10793823,-0.08276848,0.02907193,-0.01138785,-0.01166494,0.01102578,0.00959259,-0.02833864,-0.0001845,0.10760639,-0.00502496,0.0738328,-0.00490917,0.03565629,-0.04443683
-0.18009843,-0.07887444,-0.02752345,-0.09394218,-0.12615392,-0.15145847,0.1145614,0.05076896,0.13137888,-0.03006203,0.06686848,-0.0353966,0.12705965,0.04087685,0.07274682,-0.04281708,0.06828797,-0.03512297
-0.10628365,-0.07163085,-0.00650108,-0.12843725,-0.14109335,-0.09362124,0.08218405,-0.00631842,0.06707363,0.04297574,-0.00908306,0.01519037,0.15808429,-0.03678768,0.11349984,0.01809651,0.0156378,-8.819e-05
0.00155339,-0.01712731,-0.0288229,-0.1042515,-0.08076727,0.02358046,0.00882769,-0.04503875,0.02006628,0.03197408,-0.08575569,0.07384923,0.0959512,-0.00195766,0.07579198,0.01396895,0.07378154,-0.10823258
-0.02595951,-0.06086337,-0.05486645,-0.05714255,-0.0492217,0.04794374,0.05671287,-0.00621273,0.02920151,0.00521546,-0.0423839,0.04140131,0.05615518,-0.05247442,0.049431,0.03153062,0.0572208,-0.0543058
