psekraac_0,psekraac_1,psekraac_2,psekraac_3
72,116,115,175
30,101,100,195
45,99,98,157
53,94,93,152
37,54,54,92
20,45,45,85
87,209,208,339
19,47,46,58
25,46,45,63
17,48,48,58
20,47,47,58
28,39,39,64
27,42,42,66
30,40,40,69
22,46,46,57
18,47,46,60
21,47,47,57
26,41,41,64
18,34,34,62
46,77,77,128
29,81,81,144
41,73,73,134
11,22,22,33
34,86,85,150
15,15,14,49
14,21,20,38
40,81,80,144
46,77,77,156
32,88,87,144
20,37,36,62
18,26,26,48
19,28,28,51
48,125,124,214
38,65,64,134
9,26,26,35
36,81,80,110
30,62,62,103
28,69,69,95
1,22,21,24
27,49,49,90
21,45,44,100
29,52,51,87
66,126,125,218
22,59,59,120
41,82,82,130
70,104,103,179
165,337,337,597
41,65,65,99
4,12,11,51
61,165,164,302
15,45,44,80
23,44,43,75
25,45,44,75
24,46,45,72
21,42,41,82
21,41,40,83
22,45,44,76
30,65,64,146
24,69,68,131
27,64,63,137
40,64,63,130
33,67,66,128
30,62,61,138
28,64,63,138
35,57,56,129
32,68,67,128
25,40,39,95
36,63,62,129
33,62,62,94
23,59,59,133
18,34,34,52
38,106,105,212
43,78,78,137
47,100,101,198
36,79,79,124
29,62,62,111
28,74,74,144
45,74,73,135
43,104,104,191
40,109,109,186
59,121,120,254
62,129,129,287
53,96,96,160
43,112,111,183
39,87,87,152
30,74,73,132
24,49,48,58
27,45,44,66
28,46,45,55
7,22,21,22
9,19,18,23
8,21,20,22
9,21,20,27
7,20,19,25
9,24,23,33
5,22,21,29
5,22,21,25
65,158,157,360
66,157,156,313
59,155,154,429
68,182,181,518
60,157,156,484
62,159,158,402
69,143,143,259
68,144,144,262
57,153,152,357
66,173,172,546
68,162,161,315
74,147,146,246
20,39,38,77
19,38,37,82
14,38,37,83
19,43,42,107
27,43,42,88
18,39,38,103
12,40,39,83
16,42,41,85
19,42,41,77
20,40,39,78
7,32,31,48
20,38,38,67
28,71,71,148
21,71,70,134
25,62,61,123
31,71,71,145
29,79,78,132
24,49,48,95
26,51,50,87
31,51,51,79
35,49,48,81
38,49,48,78
31,49,48,86
25,50,49,88
32,64,64,101
39,72,72,134
38,76,75,130
32,76,75,139
39,82,81,163
41,77,76,172
37,81,81,165
38,84,84,150
34,82,81,147
76,182,181,339
85,191,190,328
27,59,59,100
57,125,124,198
38,91,90,160
32,92,91,184
50,98,97,137
37,94,93,151
37,76,75,102
41,90,90,168
38,72,72,105
56,100,100,156
74,126,126,234
73,130,129,229
21,33,32,60
37,89,88,170
40,93,92,166
89,233,232,424
93,241,240,407
19,49,48,98
17,55,54,85
24,47,46,97
70,141,140,249
49,102,102,195
64,139,140,282
32,100,99,178
32,104,103,173
85,191,190,296
30,63,62,82
28,67,66,101
55,97,96,167
62,169,169,303
34,73,72,129
50,105,104,210
61,147,146,218
67,146,146,212
18,34,34,59
18,41,40,63
17,39,38,59
5,21,20,41
9,20,19,39
7,19,19,42
15,21,20,55
14,21,20,49
19,36,35,54
15,31,31,65
19,35,34,56
33,77,77,172
30,78,77,174
24,78,77,178
35,79,79,176
32,85,84,158
31,87,86,154
32,84,84,158
30,85,85,158
22,78,78,179
29,79,78,172
27,86,85,167
29,92,92,151
27,79,78,172
57,124,124,218
63,130,130,197
10,38,39,96
10,24,23,46
26,42,43,86
69,149,148,267
34,61,60,103
21,50,49,71
33,50,49,87
29,56,56,99
87,205,204,383
94,207,206,373
91,204,203,380
90,210,209,369
91,198,197,393
91,188,187,415
91,199,198,383
112,215,214,358
113,203,202,377
85,205,205,380
89,214,213,361
47,108,108,202
44,105,104,194
39,109,108,213
50,110,109,201
53,117,117,149
50,108,107,202
49,111,110,195
46,108,107,185
54,107,106,199
68,111,111,145
64,140,139,239
65,141,141,247
71,143,142,240
63,135,134,257
57,144,143,253
62,139,138,251
62,122,122,176
86,137,136,220
66,140,139,211
66,134,133,257
63,141,140,243
73,146,146,226
80,144,143,210
56,115,114,195
